"","state_code","state_name","district_code","district_name","ngdp_code","census_year","Pop_Total","Pop_GenderMale","Pop_GenderFemale","Pop_CitizenshipCitizen","Pop_CitizenshipNon-citizen","AnnualPopGrowthRate_Average","Pop_EthnicMalay","Pop_EthnicOtherBumi","Pop_EthnicChinese","Pop_EthnicIndian","Pop_EthnicOther","Pop_AgeGroup0014","Pop_AgeGroup1564","Pop_AgeGroup65++","Pop_MaritalNeverMarried","Pop_MaritalMarried","Pop_MaritalWiddowed","Pop_MaritalDivorcedSeparated","Pop_ReligionIslam","Pop_ReligionChristian","Pop_ReligionBuddha","Pop_ReligionHindu","Pop_ReligionOthers","Pop_ReligionNoReligionUnknown","LandAreaKm2","Pop_Density","Pop_StrataUrban","Pop_StrataRural"
"727",13,"Sarawak",5,"Serian","1305",1970,53699,27700,25999,53699,NA,NA,5068,38558,9231,0,842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728",13,"Sarawak",5,"Serian","1305",1980,64542,32282,32260,64542,NA,1.83921795310425,5222,47384,10833,65,1038,28892,33595,2055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,64542
"729",13,"Sarawak",5,"Serian","1305",1991,71874,35866,36008,71580,294,1.07598411299326,6926,53510,10197,75,872,27884,40779,3211,22457,27746,2613,681,8555,49430,3346,60,7273,3192,NA,NA,0,71874
"730",13,"Sarawak",5,"Serian","1305",2000,79632,40002,39630,79039,593,1.02501436138949,9398,59801,9731,74,35,28362,47015,4255,14180,33750,2804,536,10547,58090,7025,30,3109,831,NA,NA,0,79632
"731",13,"Sarawak",5,"Serian","1305",2010,89078,45137,43941,87356,1722,1.12096368292142,10799,67943,8156,193,265,26334,56486,6258,17797,41087,3328,532,13235,61770,6630,28,7144,271,NA,NA,11059,78019
"732",13,"Sarawak",5,"Serian","1305",2020,85345,43818,41527,83712,1633,-0.428105251920437,9752,59328,14412,124,96,18187,58512,8646,21271,40434,4280,1173,13619,58786,12171,60,641,68,1749,48.7964551172098,20531,64814
"733",13,"Sarawak",6,"Simunjan","1306",1970,31188,15702,15486,31188,NA,NA,16577,10780,3263,0,568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"734",13,"Sarawak",6,"Simunjan","1306",1980,34914,17444,17470,34914,NA,1.12854489455234,18834,12132,2912,2,1034,15396,18422,1096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34914
"735",13,"Sarawak",6,"Simunjan","1306",1991,45971,23158,22813,45931,40,2.7512286799633,25381,16734,2820,14,982,18171,25830,1970,13874,17778,1584,368,26925,11580,1073,12,3572,2767,NA,NA,0,45971
"736",13,"Sarawak",6,"Simunjan","1306",2000,37287,18852,18435,37243,44,-2.09366022467433,19096,16615,1406,6,120,13902,21560,1825,6713,15260,1237,175,19995,13300,1002,5,1721,1264,NA,NA,0,37287
