ngdp00,census_year,Pop_Total,Pop_GenderMale,Pop_GenderFemale,Pop_CitizenshipCitizen,Pop_CitizenshipNon-citizen,Pop_EthnicMalay,Pop_EthnicOtherBumi,Pop_EthnicChinese,Pop_EthnicIndian,Pop_EthnicOther,Pop_AgeGroup0014,Pop_AgeGroup1564,Pop_AgeGroup65++,Pop_MaritalNeverMarried,Pop_MaritalMarried,Pop_MaritalWiddowed,Pop_MaritalDivorcedSeparated,Pop_ReligionIslam,Pop_ReligionChristian,Pop_ReligionBuddha,Pop_ReligionHindu,Pop_ReligionOthers,Pop_ReligionNoReligionUnknown,Pop_StrataUrban,Pop_StrataRural,LandAreaKm2,Pop_Density
1220,2020,28349,15078,13271,27175,1174,105,26951,70,3,46,8857,17963,1529,9187,10557,428,162,7471,20768,22,76,NA,12,NA,28349,6089.09,4.656
1221,1991,88456,47086,41370,69375,19081,2043,55779,6906,230,4417,36928,49994,1534,27191,31397,1584,515,31155,46682,4940,72,1519,3917,15966,72490,3532.76,25.039
1221,2000,145984,75087,70897,108107,37877,6325,89320,8815,288,3359,60911,82319,2754,29005,53264,2075,729,60181,76886,6565,100,665,1587,43897,102087,3532.76,41.323
1221,2010,173103,89227,83876,134234,38869,4485,115545,10661,374,3169,61883,107046,4174,41165,66218,2958,879,69460,94701,7416,109,85,1332,80010,93093,3532.76,48.999
1221,2020,150927,77952,72975,132862,18065,3714,120502,7247,147,1252,43560,97826,9541,35221,63180,3251,1373,64706,79581,5895,451,51,243,61016,89911,3532.76,42.722
1222,1991,19726,10053,9673,19072,654,272,18332,283,31,154,9460,9558,708,5977,6409,577,80,3030,14743,218,17,103,1585,NA,19726,1346.8,14.647
1222,2000,27825,13910,13915,26237,1588,348,25479,283,23,104,13262,13567,996,4555,9198,699,111,4831,21896,182,13,303,600,NA,27825,1346.8,20.66
1222,2010,35667,17859,17808,33572,2095,424,32604,376,12,156,14202,20006,1459,9060,11265,957,183,9154,25892,248,3,NA,370,NA,35667,1346.8,26.483
1222,2020,31573,16058,15515,30219,1354,175,29807,181,7,49,10085,19252,2236,7256,12388,1065,369,6236,25181,75,46,1,34,NA,31573,1346.8,23.443
1223,1991,39873,21630,18243,17132,22741,603,9783,716,143,5887,15159,24327,387,11967,15119,960,421,36213,3076,433,61,66,24,10989,28884,1134.42,35.148
1223,2000,48591,25636,22955,23282,25309,4932,15396,642,127,2185,20102,27824,665,9170,18245,806,268,44799,3382,275,40,80,15,15605,32986,1134.42,42.833
1223,2010,61094,31273,29821,30645,30449,1301,26798,544,69,1933,17962,41978,1154,19058,22438,1265,371,56534,4236,170,36,14,104,19094,42000,1134.42,53.855
1223,2020,68893,37200,31693,34228,34665,1442,30054,614,79,2039,15825,50235,2833,17797,23621,1511,621,66126,2350,350,33,30,4,21957,46936,1134.42,60.73
1224,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10053.6,NA
1224,2000,23730,12710,11020,19807,3923,274,18979,212,2,340,9937,13337,456,4373,8898,367,155,7061,16461,127,3,16,62,NA,23730,10053.6,2.36
1224,2010,35341,19082,16259,25842,9499,395,24686,398,24,339,14505,20010,826,6707,13307,652,170,13972,18984,227,24,6,2128,NA,35341,10053.6,3.515
1224,2020,42742,23126,19616,26463,16279,385,25791,194,22,71,10764,29677,2301,8116,18416,722,240,22663,19740,164,148,8,19,NA,42742,10053.6,4.251
1301,1991,369200,184293,184907,366978,2222,125784,80401,154113,2465,4215,127235,228652,13313,130735,137733,10497,1882,136170,98385,77871,1515,39949,14024,277905,91295,1498,246.462
1301,2000,494109,247537,246572,485782,8327,178658,115027,188823,2475,799,155427,319450,19232,124562,201253,10549,2318,195396,149116,105843,1777,27963,14014,422240,71869,1498,329.846
1301,2010,598617,303499,295118,588991,9626,213010,151215,219587,3086,2093,159510,406041,33066,139381,282220,14018,3488,228007,150610,174184,1792,36574,7450,522482,76135,1498,399.611
1301,2020,609205,307666,301539,599228,9977,224265,152216,218716,2562,1469,133423,426714,49068,187367,256341,19738,10819,247593,199223,149807,1644,2426,8512,558113,51092,1498,406.679
1302,1991,35958,18047,17911,35826,132,3269,23865,8605,38,49,14517,19698,1743,11767,13081,1330,232,3491,18926,5088,22,7412,1019,NA,35958,884.4,40.658
1302,2000,41824,21499,20325,41589,235,3537,29191,8778,63,20,15163,24201,2460,8564,16490,1333,274,3961,26310,5622,12,5423,496,NA,41824,884.4,47.291
1302,2010,52760,27132,25628,51599,1161,4095,38117,9172,128,87,16697,32288,3775,11795,22022,1897,349,5107,32824,8013,23,6393,400,NA,52760,884.4,59.656
1302,2020,52643,27339,25304,51525,1118,4636,38030,8654,93,112,10647,37133,4863,16948,21947,2283,744,6234,38422,7219,14,353,401,NA,52643,884.4,59.524
1303,1991,24493,12670,11823,23979,514,7790,12652,3451,25,61,9887,13611,995,7644,9105,816,174,8456,8317,2199,21,4514,927,NA,24493,1812.34,13.515
1303,2000,27345,13950,13395,26829,516,9210,14198,3375,20,26,10708,15258,1379,4824,10800,810,203,9849,11617,2446,12,2850,571,NA,27345,1812.34,15.088
1303,2010,32568,16910,15658,31212,1356,11203,16323,3554,36,96,10677,20008,1883,6539,13915,1093,344,12648,13185,3112,12,2476,1135,NA,32568,1812.34,17.97
1303,2020,33479,17956,15523,30815,2664,10631,16871,3166,25,122,7887,22800,2792,8756,14924,1359,553,13423,16651,2607,18,537,243,NA,33479,1812.34,18.473
1304,1991,46583,23672,22911,46550,33,30934,7761,7446,290,119,20473,24467,1643,13141,17112,1334,189,31422,7269,3640,213,3045,984,NA,46583,407.08,114.432
